source_url,scraped_at,title,company,location,job_type,date_posted,job_url
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Sales executive,"Thompson, Sheppard and Ward","Alberttown, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/sales-executive-39.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Software Developer (Python),Adams-Brewer,"Brockburgh, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/software-developer-python-40.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Futures trader,Schneider-Brady,"North Jason, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/futures-trader-41.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Tour manager,Gonzales-Frank,"Arnoldhaven, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/tour-manager-42.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Cytogeneticist,Smith-Wong,"Lake Destiny, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/cytogeneticist-43.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Designer, multimedia",Pierce-Herrera,"South Timothyburgh, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/designer-multimedia-44.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Trade union research officer,"Aguilar, Rivera and Quinn","New Jimmyton, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/trade-union-research-officer-45.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Chemist, analytical","Lowe, Barnes and Thomas","New Lucasbury, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/chemist-analytical-46.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Programmer, multimedia","Lewis, Gonzalez and Vasquez","Port Cory, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/programmer-multimedia-47.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Engineer, broadcasting (operations)",Taylor PLC,"Gileston, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/engineer-broadcasting-operations-48.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Teacher, primary school","Oliver, Jones and Ramirez","Cindyshire, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/teacher-primary-school-49.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Python Developer,Rivera and Sons,"East Michaelfort, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/python-developer-50.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Manufacturing systems engineer,Garcia PLC,"Joybury, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/manufacturing-systems-engineer-51.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Producer, television/film/video","Johnson, Wells and Kramer","Emmatown, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/producer-television-film-video-52.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Scientist, forensic",Gonzalez LLC,"Colehaven, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/scientist-forensic-53.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Bonds trader,"Morgan, White and Macdonald","Port Coryton, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/bonds-trader-54.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Editorial assistant,Robinson-Fitzpatrick,"Amyborough, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/editorial-assistant-55.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Photographer,"Waters, Wilson and Hoover","Reynoldsville, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/photographer-56.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Retail banker,Hill LLC,"Port Billy, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/retail-banker-57.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Jewellery designer,Li-Gregory,"Adamburgh, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/jewellery-designer-58.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Ophthalmologist,"Fisher, Ryan and Coleman","Wilsonmouth, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/ophthalmologist-59.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Back-End Web Developer (Python, Django)",Stewart-Alexander,"South Kimberly, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/back-end-web-developer-python-django-60.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Licensed conveyancer,Abbott and Sons,"Benjaminland, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/licensed-conveyancer-61.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Futures trader,"Bryant, Santana and Davenport","Zacharyport, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/futures-trader-62.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Counselling psychologist,Smith PLC,"Port Devonville, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/counselling-psychologist-63.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Insurance underwriter,Patterson-Singh,"East Thomas, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/insurance-underwriter-64.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Engineer, automotive",Martinez-Berry,"New Jeffrey, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/engineer-automotive-65.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Producer, radio","May, Taylor and Fisher","Davidside, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/producer-radio-66.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Dispensing optician,"Bailey, Owen and Thompson","Jamesville, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/dispensing-optician-67.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Designer, fashion/clothing",Vasquez Ltd,"New Kelly, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/designer-fashion-clothing-68.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Chartered loss adjuster,Leblanc LLC,"Lake Antonio, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/chartered-loss-adjuster-69.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Back-End Web Developer (Python, Django)","Jackson, Ali and Mckee","New Elizabethside, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/back-end-web-developer-python-django-70.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Forest/woodland manager,"Blankenship, Knight and Powell","Millsbury, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/forest-woodland-manager-71.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Clinical cytogeneticist,"Patton, Haynes and Jones","Lloydton, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/clinical-cytogeneticist-72.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Print production planner,Wood Inc,"Port Jeremy, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/print-production-planner-73.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Systems developer,Collins Group,"New Elizabethtown, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/systems-developer-74.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Graphic designer,Flores-Nelson,"Charlesstad, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/graphic-designer-75.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Writer,"Mitchell, Jones and Olson","Josephbury, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/writer-76.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Field seismologist,Howard Group,"Seanfurt, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/field-seismologist-77.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Chief Strategy Officer,Kramer-Edwards,"Williambury, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/chief-strategy-officer-78.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Air cabin crew,Berry-Houston,"South Jorgeside, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/air-cabin-crew-79.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Python Programmer (Entry-Level),Mathews Inc,"Robertborough, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/python-programmer-entry-level-80.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Warden/ranger,Riley-Johnson,"South Saratown, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/warden-ranger-81.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Sports therapist,Spencer and Sons,"Hullview, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/sports-therapist-82.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Arts development officer,Camacho-Sanchez,"Philipland, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/arts-development-officer-83.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Printmaker,Oliver and Sons,"North Patty, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/printmaker-84.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Health and safety adviser,Eaton PLC,"North Stephen, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/health-and-safety-adviser-85.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Manufacturing systems engineer,Stanley-Frederick,"Stevensland, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/manufacturing-systems-engineer-86.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Programmer, applications",Bradley LLC,"Reyesstad, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/programmer-applications-87.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Medical physicist,"Parker, Goodwin and Zavala","Bellberg, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/medical-physicist-88.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Media planner,Kim-Miles,"North Johnland, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/media-planner-89.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Software Developer (Python),Moreno-Rodriguez,"Martinezburgh, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/software-developer-python-90.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Surveyor, land/geomatics",Brown-Ortiz,"Joshuatown, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/surveyor-land-geomatics-91.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Legal executive,Hartman PLC,"West Ericstad, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/legal-executive-92.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Librarian, academic",Brooks Inc,"Tuckertown, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/librarian-academic-93.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Barrister,Washington-Castillo,"Perezton, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/barrister-94.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Museum/gallery exhibitions officer,"Nguyen, Yoder and Petty","Lake Abigail, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/museum-gallery-exhibitions-officer-95.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,"Radiographer, diagnostic",Holder LLC,"Jacobshire, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/radiographer-diagnostic-96.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Database administrator,Yates-Ferguson,"Port Susan, AE",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/database-administrator-97.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Furniture designer,Ortega-Lawrence,"North Tiffany, AA",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/furniture-designer-98.html
https://realpython.github.io/fake-jobs/,2026-07-11T08:42:17+00:00,Ship broker,"Fuentes, Walls and Castro","Michelleville, AP",,2021-04-08,https://realpython.github.io/fake-jobs/jobs/ship-broker-99.html
